experiment_name,latent_dim,hidden_dim,lr,batch_size,epochs,beta,dropout,seed,final_train_total_loss,final_train_recon_loss,final_train_kl_loss,final_val_total_loss,final_val_recon_loss,final_val_kl_loss
latent20_hidden400_lr0.001_beta0.5_dropout0.0_seed42,20,400,0.001,128,50,0.5,0.0,42,80.94677631293403,68.2542280183015,25.385096412941262,83.93889534505209,71.14219091796875,25.59340828450521
latent50_hidden400_lr0.001_beta1.0_dropout0.0_seed42,50,400,0.001,128,50,1.0,0.0,42,92.58058320674188,75.08773960141782,17.492843523943865,95.26362890625,77.68925520833334,17.57437345377604
latent20_hidden400_lr0.001_beta1.0_dropout0.0_seed42,20,400,0.001,128,50,1.0,0.0,42,92.1918474754051,75.19207555700231,16.999771834762008,95.30802994791668,78.49955631510417,16.808473592122397
latent10_hidden400_lr0.001_beta1.0_dropout0.0_seed42,10,400,0.001,128,50,1.0,0.0,42,92.53580559172454,76.2393791051794,16.296426441333914,95.4569060872396,79.01030696614583,16.44659893798828
latent2_hidden400_lr0.001_beta1.0_dropout0.0_seed42,2,400,0.001,128,50,1.0,0.0,42,123.985801739728,118.62980767144096,5.355994138364439,127.99036653645834,122.7017853190104,5.288581115722656
