digit,classifier_accuracy,avg_confidence
0,1.0,0.9939515590667725
1,0.9700000286102295,0.9803867340087891
2,0.9700000286102295,0.9835130572319031
3,0.9599999785423279,0.9788023233413696
4,0.9900000095367432,0.9805058836936951
5,0.949999988079071,0.9300941228866577
6,0.8899999856948853,0.9274511933326721
7,0.9300000071525574,0.965959906578064
8,0.949999988079071,0.94319748878479
9,0.9900000095367432,0.9804448485374451
