epoch,train_total_loss,train_recon_loss,train_kl_loss,val_total_loss,val_recon_loss,val_kl_loss
1,176.73127318431713,170.0068538953993,6.724418990559048,141.54343880208333,130.103185546875,11.440253845214844
2,128.3150477068866,115.5303648184317,12.784682764123987,120.4188974609375,106.56452994791667,13.854367390950522
3,115.94629984085648,101.48707575593171,14.459224141438803,113.89796077473959,99.32003466796876,14.577926452636719
4,110.9520119176794,95.78595350477431,15.166058618616175,109.94348616536459,94.38424983723958,15.559235961914062
5,107.51175030743634,91.81367758969907,15.69807263861762,106.81167301432292,90.78471256510417,16.026960591634115
6,105.22857922815393,89.15269281684027,16.075886286982783,104.58922591145833,88.56511637369792,16.02410976155599
7,103.47265523726851,87.13958414713542,16.33307115794994,103.50015543619791,87.1675546875,16.332600443522136
8,102.09556233723958,85.5938265516493,16.501735835322627,102.50827473958333,86.216935546875,16.291339701334635
9,101.00988366247107,84.41106637008102,16.59881729917173,101.6967373046875,84.9345576171875,16.762179443359376
10,100.22063471137153,83.48703607855903,16.73359856725622,100.7590439453125,84.12681461588542,16.632229064941406
11,99.44051942274305,82.65767809606481,16.78284115487558,100.43742106119792,83.7305478515625,16.706873392740885
12,98.88955991391782,82.07070359519676,16.818856160481772,99.85015071614583,83.13516943359375,16.714981221516926
13,98.37341706452547,81.47715398943866,16.896262955277056,99.61416129557291,82.79973763020833,16.81442354329427
14,97.90116189236112,80.94215487557871,16.959007184063946,99.14192805989583,82.27898225911458,16.86294602457682
15,97.47357123480903,80.50258409288195,16.97098698368779,98.70135611979167,81.62086735026041,17.080488444010417
16,97.12360089337385,80.1138511646412,17.009749584056713,98.34671158854167,81.18611181640625,17.160599446614583
17,96.81178047236689,79.74748725043403,17.06429301848235,98.31179850260416,81.06060563151041,17.251192342122398
18,96.49319956235533,79.40897826244213,17.084221369990598,97.73658382161459,80.97244612630209,16.764138427734373
19,96.14981891999422,79.05346563946759,17.096353515625,97.77672119140625,80.34870768229166,17.428013916015626
20,96.00108356843171,78.85983042173032,17.14125331624349,97.82135416666667,81.00188492838542,16.819469604492188
21,95.74831790726273,78.60827719907408,17.140040665237994,97.70043098958334,80.72790397135417,16.972527058919272
22,95.55928213614004,78.36152488425925,17.197757414641202,97.24835465494792,79.98063671875,17.267717753092448
23,95.3263005823206,78.13849714265046,17.18780354365596,97.49868147786458,79.93221826171875,17.566463012695312
24,95.13283541304976,77.920875958478,17.211959520128037,96.93180989583334,79.72578043619792,17.206029846191406
25,94.9311439525463,77.71923001663774,17.211913951732495,96.90120621744792,79.63860026041667,17.262605814615885
26,94.79774732349537,77.57898961950231,17.2187576723452,96.68956917317708,79.33068733723958,17.35888163248698
27,94.64790823929398,77.38823732277199,17.25967085322627,96.65341552734375,78.98670084635417,17.666714599609374
28,94.48105255353009,77.23206533926505,17.24898718939887,96.38674104817709,78.4900498046875,17.896691324869792
29,94.43128920717592,77.14350529875578,17.28778396493417,96.3211787109375,79.04484537760416,17.276332804361978
30,94.29680635127315,77.00701824725115,17.289788108543114,96.40312923177083,78.96736800130208,17.43576045735677
31,94.137986328125,76.81601605902777,17.321970257794415,96.09078092447916,78.94617024739583,17.14461045328776
32,93.97545965350116,76.66844892939815,17.30701069471571,96.53071305338541,79.26193912760417,17.268774088541665
33,93.92453432436342,76.60996003327546,17.314574399594907,96.1963037109375,79.02642919921875,17.16987428792318
34,93.81278792317708,76.45388653790509,17.35890121799045,96.07548095703125,78.8718203125,17.20366064453125
35,93.67461780237268,76.32546690538194,17.349150716145832,96.0882470703125,79.02765771484376,17.06058925374349
36,93.58091867404514,76.21532638888888,17.365592196994356,95.837474609375,78.12363997395833,17.713834716796875
37,93.44284123625579,76.08776338252315,17.355077794958046,95.9091533203125,78.65790625,17.251247578938802
38,93.4056976453993,76.03922377748843,17.36647408718533,96.05935302734375,78.546587890625,17.51276590983073
39,93.3144398509838,75.91228096064815,17.402158931025753,95.55061067708333,78.2648662109375,17.2857436319987
40,93.25724437572337,75.84970520471643,17.40753894042969,95.81612923177083,78.24329638671875,17.572832845052083
41,93.17073081235533,75.72886093026621,17.441869710286458,95.40015152994792,78.15880094401042,17.24135030110677
42,93.08215366391782,75.66001206235532,17.422141723632812,95.52748421223959,77.97416048177084,17.553323872884114
43,92.97289523654514,75.58248529730903,17.39040993923611,95.87228792317708,78.31621793619792,17.55606960042318
44,92.97645272714121,75.52988487413194,17.446567984121817,95.63156998697917,78.38973177083334,17.241838521321615
45,92.84468473307291,75.39847330729167,17.446211394133393,95.642654296875,78.37633251953125,17.26632157389323
46,92.7997537073206,75.33759669777199,17.462157068323204,95.36003727213541,77.93248763020833,17.427549560546876
47,92.77815458622685,75.30983327907987,17.468321266456886,95.57595654296875,78.29978727213542,17.276168701171876
48,92.65636027922454,75.17773394097222,17.478626333731192,95.56560481770833,78.49557633463542,17.070028645833332
49,92.64042858434607,75.17620961733218,17.46421915690104,95.40857796223959,78.1108955078125,17.29768233235677
50,92.58058320674189,75.08773960141782,17.492843523943865,95.26362890625,77.68925520833334,17.57437345377604
